"ID","NOMBRE","URL","TIPO","CATEGORIA","VENTA","ALQUILER","VACACIONAL","PAIS","IDIOMA","MUNICIPIO","ZONA","DESCRIPCION","OBSERVACIONES"
"1","Idealista","https://www.idealista.com/venta-viviendas/santa-cruz-de-tenerife/la-palma/","Portal","Mixto","si","si","si","España","español","Toda la isla","Toda la isla","Mayor portal inmobiliario español con anuncios de particulares e inmobiliarias en La Palma",""
"2","Fotocasa","https://www.fotocasa.es/es/comprar/viviendas/santa-cruz-de-tenerife-provincia/la-palma/l","Portal","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Portal inmobiliario español con anuncios de venta y alquiler en La Palma",""
"3","Yaencontre","https://www.yaencontre.com/inmobiliarias/isla-la-palma","Portal","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Portal inmobiliario con directorio de agencias y propiedades en La Palma",""
"4","Pisos.com","https://www.pisos.com/","Portal","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Portal inmobiliario español con ofertas de viviendas en La Palma",""
"5","Milanuncios","https://www.milanuncios.com/viviendas-en-santa-cruz-de-tenerife/la-palma.htm","Marketplace","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Marketplace de clasificados con sección de viviendas en La Palma",""
"6","Wallapop","https://es.wallapop.com/inmobiliaria/santa-cruz-de-la-palma","Marketplace","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Marketplace de segunda mano con sección inmobiliaria para La Palma",""
"7","Mitula","https://pisos.mitula.com/pisos/alquiler-tenerife-palma","Portal","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Meta-buscador de pisos que agrega anuncios de múltiples portales",""
"8","Palmacasa","https://palmacasa.casa/","Portal","Mixto","si","si","no","España","español","Toda la isla","Toda la isla","Portal especializado en compraventa y alquiler de viviendas en La Palma",""
"9","ILP Inmobiliaria La Palma","https://inmobiliaria-lapalma.com/","Inmobiliaria","Venta","si","no","no","España","español/alemán/inglés/francés/portugués","Toda la isla","Toda la isla","Inmobiliaria con 30+ años de experiencia. Opera en español, alemán, inglés, francés y portugués","Misma empresa opera en inmobiliaria-lapalma.com"
"10","InmoCasa La Palma","https://inmocasalapalma.com/","Inmobiliaria","Venta","si","no","no","España","español","Breña Alta","Este","Agencia inmobiliaria en Breña Alta especializada en compraventa",""
"11","La Palma Compraventa","https://lapalmacompraventa.com/","Inmobiliaria","Venta","si","si","no","España","español","Toda la isla","Toda la isla","Inmobiliaria local de compraventa y alquiler en La Palma",""
"12","Marai Inmobiliaria","https://marai-inmobiliaria.com/","Inmobiliaria","Venta","si","no","no","España","español/inglés","Los Llanos de Aridane","Este,Oeste","Inmobiliaria especializada en venta de terrenos, viviendas e inmuebles en La Palma",""
"13","My Home La Palma","https://www.myhomelapalma.com/","Inmobiliaria","Venta","si","no","no","España","español/inglés","Toda la isla","Toda la isla","Inmobiliaria especializada en extranjeros con equipo multilingüe",""
"14","Berlo Real Estate","https://www.berlo.es/","Inmobiliaria","Venta","si","si","no","España","español/inglés","Santa Cruz de La Palma,Breña Alta,Breña Baja,Los Llanos,Tazacorte,Villa de Mazo","Este,Oeste","Inmobiliaria con oficinas en La Palma y Tenerife. Venta y alquiler",""
"15","Palminvest","https://www.palminvest.es/","Inmobiliaria","Venta","si","no","no","España","español/alemán/inglés","Toda la isla","Toda la isla","Inmobiliaria con amplia cartera de propiedades en venta en La Palma",""
"16","Inmogestión La Palma","https://inmogestionlapalma.com/","Inmobiliaria","Venta","si","no","no","España","español","Toda la isla","Toda la isla","Inmobiliaria con más de 21 años de experiencia en La Palma",""
"17","La Palma 24 Inmobiliaria","https://www.la-palma24.es/","Inmobiliaria","Venta","si","no","no","España","español/alemán/inglés","Toda la isla","Toda la isla","Inmobiliaria multilingüe con propiedades en toda La Palma",""
"18","Mi Casa en La Palma","https://www.mi-casa-en-la-palma.com/","Inmobiliaria","Venta","si","no","no","España","español/alemán/inglés","Toda la isla","Toda la isla","Inmobiliaria con presencia en YouTube. Compraventa de inmuebles",""
"19","Palmasesores","https://www.palmasesores.com/","Inmobiliaria","Venta","si","si","no","España","español/inglés","Santa Cruz de La Palma","Este","Inmobiliaria con oficina en Santa Cruz de La Palma desde 2001",""
